Gene	1g-3h	1g-6h	1g-12h	1g-24h	1g-48h	3d-3h	3d-6h	3d-12h	3d-24h	3d-48h
MTA	0.986666667	1.92	0.683333333	-0.693333333	-0.49	1.506666667	0.463333333	0.675	0.453333333	-0.47
MTA	1.006666667	1.83	0.743333333	-0.613333333	-0.55	1.486666667	0.543333333	0.775	0.513333333	-0.65
MTA	0.966666667	NA	0.733333333	NA	0.4	1.516666667	0.483333333	NA	-0.396666667	NA
MTB	-0.723333333	-4.823333333	-1.646666667	-3.303333333	-0.526666667	-0.553333333	-0.153333333	-0.94	-1.51	-2.136666667
MTB	-0.843333333	-4.973333333	-1.646666667	-3.323333333	-0.266666667	-0.593333333	-0.253333333	-1.15	-1.62	-2.126666667
MTB	-0.823333333	-4.993333333	-1.646666667		-0.646666667	-0.693333333	-0.273333333	-1.2	-1.65	-1.826666667
VIR	1.336666667	2.38	0.113333333	2.456666667	2.06	1.416666667	0.763333333	0.735	3.093333333	2.55
VIR	1.396666667	2.24	0.143333333	2.756666667	2.11	1.446666667	0.683333333	0.675	3.103333333	2.67
VIR	1.366666667	2.27	0.113333333	2.776666667	2.08	1.406666667	0.743333333		3.243333333	2.76
ECT1	-0.693333333	-0.24	-1.266666667	3.906666667	3.84	-0.203333333	-0.726666667	-0.555	3.063333333	2.82
ECT1	-0.663333333	-0.11	-1.256666667	3.736666667	3.82	-0.093333333	-0.576666667	-0.205	3.013333333	2.98
ECT1	-0.633333333	-0.19	-1.296666667	3.816666667	NA	-0.093333333	-0.746666667	NA	3.783333333	2.83
ECT2	3.376666667	5.276666667	2.273333333	2.696666667	2.673333333	3.076666667	2.156666667	2.76	3.55	NA
ECT2	3.456666667	5.026666667	2.263333333	2.776666667	2.773333333	3.026666667	2.126666667	2.73	3.83	NA
ECT2	3.546666667	5.046666667	2.343333333	2.626666667	2.733333333	3.016666667	2.226666667	2.78	3.74	NA
CPSF30	0.686666667	-0.243333333	-0.236666667	-0.743333333	0.643333333	0.796666667	0.416666667	0.48	0.49	0.233333333
CPSF30	0.726666667	-0.193333333	-0.166666667	-0.713333333	0.623333333	0.826666667	0.596666667	0.53	0.36	0.193333333
CPSF30	0.706666667	-0.023333333	-0.106666667	-0.683333333	0.553333333	0.856666667	0.516666667	0.43	0.41	0.203333333
